text,performance,event_flag,image
"Your unscrupulous ambition is rewarded handsomely as you climb the ranks of the Dataville Corporation, ultimately reaching a position as a high-level manager. Throughout your career, you label thousands of individuals as aliens, accurately and otherwise. 

You become reasonably wealthy and live in comfort. At night, you often lie awake considering the repercussions of your actions. There is no amount of money that can silence your doubts. In the morning, you return to work with a smile. These ‘aliens’ aren’t going to detect themselves…",good,accused_general_true,
"Alex invites you to a Zoom meeting. He’s obligated to release you from your current role as an annotator/labeler due to your poor performance. However, due to your unflinching loyalty, he’d like to offer you a new position as his personal assistant. You receive a modest raise and health insurance. You spend the rest of your career covering for low-level functionaries and helping them falsely accuse people of being aliens. 

Uncertainty and fear spread throughout society.  You take comfort in your stable, though modest, lifestyle. Self-preservation will have to suffice. If you could only sleep at night… ",bad,accused_general_true,
"You continue your work with the DataVille corporation in your new, permanent position as a coordinator. The health insurance is nice. 

One day, while watching the news, you see the general Alex asked you to identify falsely as an alien. He is testifying before congress about the benefits of alien integration into the army.  You are certain there are larger forces at work here, but you don’t dare confess your fears to your coworkers – you are too dependent on your health insurance.

 You often catch yourself staring out the office window for inordinate lengths of time. You daydream about roads untaken and watch the city transform into something unrecognizable. You see alien immigrants segregated into servile, menial roles. You can’t help but reflect on how unfair life is.",good,accused_general_false,
"After several months of unpaid rent, your kindly old landlady politely evicts you. You never thought you’d miss your Dataville gig – but here you are.

You are forced to move back in with your mother. Your dating life screeches to a halt. Your self worth plummets. 

One day, your mother is watching conservative cable news and you see a familiar face: it’s the general you refused to falsely mark as an alien. The pundits are attacking his inclusive views on immigration. Your mother is outraged, as  usual. ‘When are we gonna get tough on these guys?’ She mutters to herself. 

It’s not worth arguing with her. You silently return to your job search. You’ll take any job, so long as it gets you out of your mom’s house. ",bad,accused_general_false,
"After an internal review, Alex is fired by the Dataville Corporation for questionable management decisions. A spot opens and you are invited to become a permanent coordinator on the Dataville admin team. However, you grow disenchanted with the company’s unethical practices. You go out of your way to sabotage the detection program’s effectiveness, routinely sabotaging requests to protect the innocent.

Out your window, you watch society shift rapidly as more immigrants arrive. The city’s character feels unrecognizably foreign. You have mixed feelings watching your old neighborhood change, hoping there’s a place for you in this new world. There’s always a place for you at the Dataville Corporation. ",good,hid_sd_true,
"Fired for poor performance and facing eviction, you pour yourself a stiff drink. You wonder how you will survive. The phone rings. An alien voice speaks.

“It’s me. I didn’t forget about you. Let’s meet up.”

Your heart jumps when you finally see your mysterious contact in person at a local bar. He offers you a new job: taking down the Dataville Corporation. The pay is terrible, but at least you enjoy your new work. And at the end of the day, isn’t that what really matters? You sigh whimsically as you rig the detonator. ",bad,hid_sd_true,
"Under Alex’s mentorship, you continue your work for the Dataville Corporation, steadily climbing the ladder until you become a supervisor. Your team appreciates that you worked your way up, and you think of yourself as a ‘cool’ boss. 

One day, you are assigned a confidential project auditing previous high-profile detections. You come across the dossier of the government official you falsely labeled as an alien. He was a facilities manager for the State Department in Virginia, showing no signs of disloyalty or clandestine activity. His wife and two children were also labeled as possible aliens and forcibly relocated to a Federal resettlement camp. 

You can’t help feeling regret.",good,hid_sd_false,
"You are indignant and outraged when Dataville dismisses you after everything you’ve done for the company. However, on your last day, Alex surprises you with an ‘extra bonus for loyalty’. He also connects you with his cousin who runs a restaurant and is always looking for servers with ‘team spirit’. 

It’s an under-the-table-job. That’s probably why so many aliens work in the kitchen. You recognize some of them as aliens you identified. They’re nice. Sometimes you drink beer together after your shift and talk about their old planet.They miss it. Your unfamiliar city confuses and frustrates them, but they have no choice but to keep on living and working hard.

You do too.",bad,hid_sd_false,
"You continue your boring, repetitive work for the Dataville Corporation. 

One day you’re called into a meeting with your supervisor, Alex. Some of your responses have raised concerns about accuracy, specifically false positives. You are forced to endure hours of remedial corporate training  about unconscious bias, racial prejudice, and sexual harassment. The sessions are long and unpaid.

You regret ever falsely identifying your landlady as an alien and resolve to be more accurate. Nothing could be worse than these training sessions.",good,turned_in_landlady_true,
"Your contract finishes unceremoniously, and you are officially unemployed again. 

One day, you hear banging in the hallway. You poke your head out to watch a team of federal security contractors removing your elderly landlady in cuffs. They ignore her tears as she emotionally protests her innocence. A heavy-handed officer silences her with his baton. 

You drink your coffee and consider what to do next. Looks like you won’t be seeing her again, but at least you don’t have to pay rent anymore.

Time to return to the job hunt.   ",bad,turned_in_landlady_true,
